key	enc	maxbytes	ja	ko
000BAAE8	utf8	15	織姫登場	오리등장
000BAAF8	utf8	19	帝劇 戦闘前	제극 전투전
000BAB0C	utf8	23	第二話はじまり	제２화 시작
000BAB24	utf8	19	鶯谷 戦闘前	우구이스 전전
000BAB38	utf8	19	鶯谷 戦闘後	우구이스 전후
000BAB4C	utf8	15	渋谷戦闘前	시부야전전
000BAB5C	utf8	23	第三話はじまり	제３화 시작
000BAB74	utf8	27	すみれからの通信	스미레의 통신
000BAB90	utf8	19	神崎邸 戦闘前	칸자키 전전
000BABA4	utf8	23	第四話はじまり	제４화 시작
000BABBC	utf8	15	紅蘭の思い	코란의마음
000BABCC	utf8	19	深川 戦闘前	후카가와 전전
000BABE0	utf8	23	第五話はじまり	제５화 시작
000BABF8	utf8	23	温泉への出発前	온천 출발 전
000BAC10	utf8	19	旅行2日目の夜	여행2일째밤
000BAC24	utf8	19	熱海 戦闘前	아타미 전투전
000BAC38	utf8	23	第六話はじまり	제６화 시작
000BAC50	utf8	15	レニの誘拐	레니 납치
000BAC60	utf8	19	池袋 戦闘前	이케부쿠 전전
000BAC8C	utf8	23	第七話はじまり	제７화 시작
000BACA4	utf8	27	織姫の父、緒方。	오리부친，오가타.
000BACC0	utf8	19	浅草 戦闘前	아사쿠사 전전
000BACD4	utf8	19	浅草 五鈷戦前	아사쿠 오고전
000BACE8	utf8	23	第八話はじまり	제８화 시작
000BAD00	utf8	19	帝劇 戦闘後	제극 전투후
000BAD14	utf8	19	新宿 戦闘前	신주쿠 전투전
000BAD28	utf8	19	新宿 戦闘後	신주쿠 전투후
000BAD3C	utf8	23	赤坂 洞穴戦闘前	아카사카 동굴전
000BAD54	utf8	23	第九話はじまり	제９화 시작
000BAD6D	utf8	22	人娘とのデート	인랑과의데이트
000BAD84	utf8	23	第十話はじまり	제１０화 시작
000BAD9C	utf8	23	それぞれの年始	각자의 새해
000BADB4	utf8	19	王子 戦闘前	오지 전투전
000BADC8	utf8	27	第十一話はじまり	제１１화 시작
000BADE4	utf8	31	ミカサ機関部 戦闘前	미카사기관부 전투전
000BAE04	utf8	27	ミカサ甲板 戦闘前	미카사갑판 전투전
000BAE20	utf8	27	ミカサ甲板 戦闘後	미카사갑판 전투후
000BAE3C	utf8	23	武蔵内部 戦闘前	무사시내부 전전
000BAE54	utf8	27	第十二話はじまり	제１２화 시작
000BAE70	utf8	23	イドの間 戦闘前	이드의방 전투전
000BAE88	utf8	23	御柱の間 戦闘前	미하시라방 전전
000BAEA0	utf8	19	新皇 戦闘前	신황 전투전
000BAEB4	utf8	23	おとずれる平和	찾아오는 평화
000BAECC	utf8	15	～そして～	～그리고～
000BAF94	utf8	23	帝劇 闇神威戦前	제극 암신위전전
000BAFAC	utf8	23	鴬谷 大日剣戦前	우구이 대일검전
000BAFC4	utf8	19	渋谷 智拳戦前	시부야 지권전
000BAFD8	utf8	23	神崎邸 八葉戦前	칸자키 팔엽전
000BAFF0	utf8	19	深川 五鈷戦前	후카가 오고전
000BB004	utf8	19	熱海 宝形戦前	아타미 보형전
000BB018	utf8	27	赤坂 最深部戦闘前	아카사카 최심부전
000BB034	utf8	31	ミカサ甲板 八葉戦前	미카사갑판 팔엽전전
000BB054	utf8	31	武蔵内部 大日剣戦前	무사시내부 대일검전전
000BB098	utf8	15	帝劇 初陣	제극첫출전
000BB0A8	utf8	19	帝劇 闇神威戦	제극 암신위전
000BB0C4	utf8	19	鴬谷 砲撃作戦	우구이 포격전
000BB0D8	utf8	19	鴬谷 回復作戦	우구이 회복전
000BB0EC	utf8	19	鴬谷 大日剣戦	우구이 대일검
000BB108	utf8	19	渋谷 速攻作戦	시부야 속공전
000BB11C	utf8	19	渋谷 偵察作戦	시부야 정찰전
000BB130	utf8	19	渋谷 智拳戦	시부야 지권전
000BB144	utf8	11	神崎邸	칸자키
000BB150	utf8	19	神崎邸 掃討戦	칸자키 소탕전
000BB164	utf8	19	神崎邸 防衛戦	칸자키 방위전
000BB178	utf8	19	神崎邸 八葉戦	칸자키 팔엽전
