key	file	index	id	flags	ja	ko
S1S:m01mes:0	m01mes.bin	0	0x00BA		せーの！	하나，　둘！
S1S:m01mes:1	m01mes.bin	1	0x00BB		勝利のポーズ……決めっ！	승리의　포즈……　결정！
S1S:m01mes:2	m01mes.bin	2	0x00B6	dup=S1A:0100tbl:578	ははは……\n混乱、恐怖、政府転覆……\n楽しいねえ。	하하하……\n혼란，　공포，　정부　전복……\n즐겁구나．
S1S:m01mes:3	m01mes.bin	3	0x00B7	dup=S1A:0100tbl:579	帝都は我ら黒之巣会が\nもらい受けた！	제도는　우리　흑지소회가\n접수했다！
S1S:m01mes:4	m01mes.bin	4	0x00B8	dup=S1A:0100tbl:580	屍の山を築き\n我らが力を見せてくれましょう。\nのう、叉丹殿。	시체의　산을　쌓고\n우리　힘을　보여　드리죠．\n그렇지　않습니까，　사탄　님．
S1S:m01mes:5	m01mes.bin	5	0x00B9	dup=S1A:0100tbl:581	フフフフ……	후후후후……
S1S:m01mes:6	m01mes.bin	6	0x0BB8	dup=S1A:0301tbl:917	そこまでよ！	거기까지야！
S1S:m01mes:7	m01mes.bin	7	0x0BB9		なにぃ？	뭐라고？
S1S:m01mes:8	m01mes.bin	8	0x0BBA		貴様らは！	네놈들은！
S1S:m01mes:9	m01mes.bin	9	0x0BBB	dup=S1A:0101tbl:783	…………	…………
S1S:m01mes:10	m01mes.bin	10	0x0BBC		帝国華撃団、参上！	제국화격단，　등장！
S1S:m01mes:11	m01mes.bin	11	0x0BBD		帝国華撃団とな？\nこざかしい！	제국화격단이라고？\n건방지군！
S1S:m01mes:12	m01mes.bin	12	0x0BBE		面白い……\nここはわたしが……	흥미롭군……\n여긴　내가……
S1S:m01mes:13	m01mes.bin	13	0x0BBF		ふん……\nまかせたぞ。	흠……\n맡기겠다．
S1S:m01mes:14	m01mes.bin	14	0x0BC0		お前達の実力、\nどれほどか見せてもらおう！	네놈들의　실력，\n얼마나　되는지　보여　봐라！
S1S:m01mes:15	m01mes.bin	15	0x0BC1		フフフ……\nやるではないか。	후후후……\n제법　하는군．
S1S:m01mes:16	m01mes.bin	16	0x0BC2		わたし自ら相手をしてくれよう。	내가　직접　상대해　주지．
S1S:m01mes:17	m01mes.bin	17	0x0BC3		逃げるわっ！	도망칠　거야！
S1S:m01mes:18	m01mes.bin	18	0x0BC4		華撃団よ！\nいずれ決着をつけよう！	화격단이여！\n언젠가　결판을　내자！
S1S:m01mes:19	m01mes.bin	19	0x2711	gaiji=81B8	やったぁぁぁっ‼	해냈다아‼
S1S:m01mes:20	m01mes.bin	20	0x2712		ふっ……\nさすがわたくしですわ。	후……\n역시　나답군요．
S1S:m01mes:21	m01mes.bin	21	0x2713		……いい調子だわ。	……순조롭네．
S1S:m01mes:22	m01mes.bin	22	0x2714		大神さん、すごいです！	오오가미　씨，　대단해요！
S1S:m01mes:23	m01mes.bin	23	0x2715		なかなか　おやりになるわね。	제법　하시는군요．
S1S:m01mes:24	m01mes.bin	24	0x2716		その調子です、少尉。	그　기세예요，　소위님．
S1S:m01mes:25	m01mes.bin	25	0x2717		帝都の平和をおびやかす者は\nあたしたちがゆるさない！	제도의　평화를　위협하는　자는\n우리가　용서하지　않아！
S1S:m01mes:26	m01mes.bin	26	0x2718		さあ、どこからでも\nかかってらっしゃい！	자，　어디서든\n덤벼　보시지！
S1S:m01mes:27	m01mes.bin	27	0x2719		では、これから\n光武の操縦法を教えますから\nきちんと聞いてください。	그럼　지금부터\n광무　조종법을　알려　드릴　테니\n잘　들어　주세요．
S1S:m01mes:28	m01mes.bin	28	0x271A		まずはさくら、あなたからよ。	우선　사쿠라，　네　차례야．
S1S:m01mes:29	m01mes.bin	29	0x271B		はい、行きます！	네，　갑니다！
