key	file	index	id	flags	ja	ko
S2:EV00001:0	EV00001.MES	0	1c22063a		うふふっ！\nこの程度なら楽勝でーす！	후후훗！　이　정도면　식은\n죽　먹기예요！
S2:EV00001:1	EV00001.MES	1	1c22063b		こんな敵に大騒ぎするなんて\n花組のみなさんも\nたーいしたことないでーす。	이런　적에　호들갑　떨다니\n화조　여러분도\n별것　아니네요．
S2:EV00001:2	EV00001.MES	2	ebf002bf	gaiji=81B8	帝国華撃団参上‼	제국화격단　등장‼
S2:EV00001:3	EV00001.MES	3	02597fff		無事か、織姫くん！	무사한가，　오리히메　군！
S2:EV00001:4	EV00001.MES	4	1c22063d		大丈夫でーす！\nもうお茶のこサイサイって\nカンジ！	괜찮아요！\n식은　죽　먹기라니까요！\n그런　느낌！
S2:EV00001:5	EV00001.MES	5	1c22063e		わたしは好きにやりますから、\n自分の心配を\nしてくださーい！	저는　제멋대로　할　테니，\n자기　걱정이나\n해　주세요ー！
S2:EV00001:6	EV00001.MES	6	1453063f		織姫～！\n一人じゃ危ないよ～！	오리히메ー！\n혼자서는　위험해ー！
S2:EV00001:7	EV00001.MES	7	04b30640		織姫さん、敵と戦うには\nみんなで力を合わせないと\n大変なことになりますよ！	오리히메　씨，　적과\n싸우려면　모두　힘을　합치지\n않으면　큰일　나요！
S2:EV00001:8	EV00001.MES	8	1c210641		心配いりませーん。\nわたしとあなたたちでは\nレベルが違うのでーす。	걱정　마세요．\n저와　당신들은\n레벨이　다르니까요ー．
S2:EV00001:9	EV00001.MES	9	1c220642		それじゃ、行ってくるでーす！\nそこで、わたしの活躍を\n見ててくださーい。	그럼，　다녀올게요ー！\n거기서　제　활약을\n지켜봐　주세요ー．
S2:EV00001:10	EV00001.MES	10	025b7fff		お、織姫くん……！	오，　오리히메　군……！
S2:EV00001:11	EV00001.MES	11	25810643		大神ぃ！　\nなに、油を売ってやがるんだ！\n敵はすぐそこだぞ！	오오가미이！　\n뭐　하며　빈둥거리는　거야！\n적은　바로　앞이라고！
S2:EV00001:12	EV00001.MES	12	34bd0644		敵、劇場に接近！	적，　극장에　접근！
S2:EV00001:13	EV00001.MES	13	2ced0645		これ以上は危険です！	더는　위험합니다！
S2:EV00001:14	EV00001.MES	14	25810646		……よしっ！\n「帝防」を展開しろ！	……좋아！\n「제방」을　펼쳐라！
S2:EV00001:15	EV00001.MES	15	30d50647		了解！\n「帝劇防御壁」を\n展開します！	알겠습니다！\n「제극　방어벽」을\n펼칩니다！
S2:EV00001:16	EV00001.MES	16	25810648		大神、これで劇場は\n心配ない！　お前たちは\n戦いに専念するんだ！	오오가미，　이제　극장은\n걱정　없다！　너희는\n전투에　전념해！
S2:EV00001:17	EV00001.MES	17	02597fff		ありがとうございます、\n米田長官！	감사합니다，\n요네다　장관님！
S2:EV00001:18	EV00001.MES	18	02597fff	gaiji=81B8	みんな、行くぞ！\n戦闘開始だ‼	다들，　가자！\n전투　개시다‼
S2:EV00002:0	EV00002.MES	0	02597fff		よし、やったぞ……\nしかし、あの敵の魔操機兵は\nたしかに「脇侍」だった……	좋아，　해냈다……\n하지만　저　적의　마조기병은\n분명　「협시」였어……
S2:EV00002:1	EV00002.MES	1	02597fff		再び、この帝都に\n現れるとは……	다시　이　제도에\n나타날　줄이야……
S2:EV00020:0	EV00020.MES	0	04b07fff		大神さん、久しぶりの\n戦闘なんですよね？	오오가미　씨，　오랜만의\n전투인　거죠？
S2:EV00020:1	EV00020.MES	1	04b07fff		光武の操縦方法は、\n覚えていますか？	광무　조종법은\n기억하고　있나요？
S2:EV00020:2	EV00020.MES	2	04b07fff		よかったら教えてくれないか。	괜찮다면　가르쳐　주겠나．
S2:EV00020:3	EV00020.MES	3	04b07fff		ああ。よく覚えてるよ。	아아．　잘　기억하고　있어．
