key	flags	ja	ko
S2M:M00LOW:0		うふふっ！\nこの程度なら楽勝でーす！	후후훗！　이　정도면　식은\n죽　먹기예요！
S2M:M00LOW:1		こんな敵に大騒ぎするなんて\n花組のみなさんも\nたーいしたことないでーす。	이런　적에　호들갑　떨다니\n화조　여러분도\n별것　아니네요．
S2M:M00LOW:2		帝国華撃団参上∈	제국화격단　등장‼
S2M:M00LOW:3		無事か、織姫くん！	무사한가，　오리히메　군！
S2M:M00LOW:4		大丈夫でーす！\nもうお茶のこサイサイって\nカンジ！	괜찮아요！\n식은　죽　먹기라니까요！\n그런　느낌！
S2M:M00LOW:5		わたしは好きにやりますから、\n自分の心配を\nしてくださーい！	저는　제멋대로　할　테니，\n자기　걱정이나\n해　주세요ー！
S2M:M00LOW:6		織姫～！\n一人じゃ危ないよ～！	오리히메ー！\n혼자서는　위험해ー！
S2M:M00LOW:7		織姫さん、敵と戦うには\nみんなで力を合わせないと\n大変なことになりますよ！	오리히메　씨，　적과\n싸우려면　모두　힘을　합치지\n않으면　큰일　나요！
S2M:M00LOW:8		心配いりませーん。\nわたしとあなたたちでは\nレベルが違うのでーす。	걱정　마세요．\n저와　당신들은\n레벨이　다르니까요ー．
S2M:M00LOW:9		それじゃ、行ってくるでーす！\nそこで、わたしの活躍を\n見ててくださーい。	그럼，　다녀올게요ー！\n거기서　제　활약을\n지켜봐　주세요ー．
S2M:M00LOW:10		お、織姫くん……！	오，　오리히메　군……！
S2M:M00LOW:11		大神ぃ！　\nなに、油を売ってやがるんだ！\n敵はすぐそこだぞ！	오가미이！　\n뭐　하며　빈둥거리는　거야！\n적은　바로　앞이라고！
S2M:M00LOW:12		敵、劇場に接近！	적，　극장에　접근！
S2M:M00LOW:13		これ以上は危険です！	더는　위험합니다！
S2M:M00LOW:14		……よしっ！\n「帝防」を展開しろ！	……좋아！\n「제방」을　펼쳐라！
S2M:M00LOW:15		了解！\n「帝劇防御壁」を\n展開します！	알겠습니다！\n「제극　방어벽」을\n펼칩니다！
S2M:M00LOW:16		大神、これで劇場は\n心配ない！　お前たちは\n戦いに専念するんだ！	오가미，　이제　극장은\n걱정　없다！　너희는\n전투에　전념해！
S2M:M00LOW:17		ありがとうございます、\n米田長官！	감사합니다，\n요네다　장관님！
S2M:M00LOW:18		みんな、行くぞ！\n戦闘開始だ∈	모두，　가자！\n전투　개시다‼
S2M:M01LOW:0		疾きこと風のごとく……\n移動力重視の作戦だ！	빠르기는　바람처럼……\n이동력　중시　작전이다！
S2M:M01LOW:1		今は、この命令を出している。\n移動力を活かして戦おう。	현재　명령은　이것이다．\n이동력을　살려　싸우자．
S2M:M01LOW:2		花組各員に通達！\n「風」作戦を開始するぞ！	화조　전원에게　통보！\n「풍」　작전　개시다！
S2M:M01LOW:3		林のように心静かに……\n本来の力を引き出すんだ！	숲처럼　마음을　고요히……\n본래의　힘을　끌어내자！
S2M:M01LOW:4		今は、この命令を出している。\n本来の力で敵に立ち向かおう。	현재　명령은　이것이다．\n본래의　힘으로　맞서자．
S2M:M01LOW:5		花組各員に通達！\n「林」作戦を開始するぞ！	화조　전원에게　통보！\n「림」　작전　개시다！
S2M:M01LOW:6		炎のように熱く燃える……\n攻撃力重視の作戦だ！	불처럼　뜨겁게　타오르는……\n공격력　중시　작전이다！
S2M:M01LOW:7		今は、この命令を出している。\n攻撃力を活かして戦おう。	현재　명령은　이것이다．\n공격력을　살려　싸우자．
S2M:M01LOW:8		花組各員に通達！\n「火」作戦を開始するぞ！	화조　전원에게　통보！\n「화」　작전　개시다！
S2M:M01LOW:9		構えること山のごとく……\n防御力重視の作戦だ！	산처럼　굳건히　버티는……\n방어력　중시　작전이다！
S2M:M01LOW:10		今は、この命令を出している。\n防御力を活かして戦おう。	현재　명령은　이것이다．\n방어력을　살려　싸우자．
S2M:M01LOW:11		花組各員に通達！\n「山」作戦を開始するぞ！	화조　전원에게　통보！\n「산」　작전　개시다！
S2M:M01LOW:12		このままの作戦でいくぞ！	이대로　작전을　계속한다！
S2M:M01LOW:13		了解！	알겠습니다！
S2M:M01LOW:14		上空からの攻撃で、敵の数も\nだいぶ減ったようです。	상공에서　공격해\n적도　꽤　줄었네요．
S2M:M01LOW:15		今のうちに、\n敵の魔操機兵「脇侍」を\n全滅させてください！	지금이　기회예요．\n적　마조기병　「협시」를\n전멸시켜　주세요！
S2M:M01LOW:16		０メッセージ１－３	０메시지１－３
S2M:M01LOW:17		「圧縮蒸気」投下完了です！	「압축　증기」　투하　완료！
S2M:M01LOW:18		敵は多いですが、\n光武を回復しながら\n脇侍を全滅してください！	적은　많지만，\n코부를　회복시키면서\n협시를　전멸시켜　주세요！
S2M:M01LOW:19		０メッセージ２－３	０메시지２－３
S2M:M01LOW:20		０メッセージ３－１	０메시지３－１
S2M:M01LOW:21		０メッセージ３－２	０메시지３－２
S2M:M01LOW:22		０メッセージ３－３	０메시지３－３
S2M:M01LOW:23		花組の隊長、大神一郎。\n高い戦闘力と、\n勇敢な心を持っている。	화조　대장，　오가미．\n높은　전투력과\n용감한　마음을　지녔다．
S2M:M01LOW:24		北辰一刀流、真宮寺さくら。\n素早い動きで、\n敵を一刀両断する。	북진일도류，　사쿠라．\n빠른　움직임으로\n적을　일도양단한다．
S2M:M01LOW:25		神崎風塵流、神崎すみれ。\n華麗なナギナタの技は、\n見るものの心をもとらえる。	칸자키　풍진류，　스미레．\n화려한　나기나타　기술은\n보는　이의　마음마저　홀려．
S2M:M01LOW:26		射撃手、マリア・タチバナ。\n氷の銃弾は、狙った\n獲物を決して逃さない。	사격수，　마리아．\n얼음　탄환은　노린\n먹이를　놓치지　않는다．
S2M:M01LOW:27		桐島流空手、桐島カンナ。\n圧倒的なパワーで、むらがる\n敵を粉砕する。	가라테의　달인，　칸나．\n압도적　파워로　몰려드는\n적을　분쇄한다．
S2M:M01LOW:28		花組のマスコット、アイリス。\n超能力を使った、\n不思議な攻撃で敵と戦う。	화조의　마스코트，\n아이리스．\n초능력으로　적과　싸운다．
S2M:M01LOW:29		発明家、李紅蘭。\n次々に繰り出す発明品で、\n敵味方をあっといわせるぞ。	발명가，　코란．\n신제품을　잇달아　내놓아\n적과　아군을　놀라게　한다．
