count	first_key	ja	ko
999	S1A:0101tbl:783	…………	
166	S2A:SK0608:5	あいうえお。	
163	S1A:0101tbl:81	………………	
129	S2A:SK0307:1739	口パクテスト\n１２３４５６７８９ＡＢＣＤＥ\n１２３４５６７８９ＡＢＣＤＥ	
112	S1A:0301tbl:952	隊長……	
109	S1A:0102tbl:383	了解！	
107	S1A:0100tbl:0	さくらくんのブロマイドだ。\nじっとこちらを見つめている。\n何を思っているんだろう……	
95	S1A:0101tbl:99	大神さん……	
93	S1A:0101tbl:134	さくらくん……	
85	S2A:SK0307:593	服装４\n表情００	
81	S2A:SK0101:816	…「」『』（）・。、！？⁉‼　	
79	S2A:SK0101:773	魔神器の一つ、珠。\n薔薇組から託された。	
79	S2A:SK0101:774	霊剣荒鷹。\n真宮寺家に伝わる秘剣。	
79	S2A:SK0101:775	神剣白羽鳥。\nかえでから託された\n藤枝家に伝わる秘剣。	
79	S2A:SK0101:776	光刀無形。\n山崎真之介が元の所有者。\n一馬から託された秘刀。	
79	S2A:SK0101:777	神刀滅却。\n米田から託された秘刀。	
79	S2A:SK0101:778	帝劇での大神の制服。\n夏・冬兼用。	
79	S2A:SK0101:781	歓迎会で使うお皿。\nさくらに持ってくるように\n頼まれた。	
79	S2A:SK0101:782	さくらのブロマイド。	
79	S2A:SK0101:783	さくらのブロマイド。\nお正月だけの\nスペシャル限定版。	
79	S2A:SK0101:784	すみれのブロマイド。	
79	S2A:SK0101:785	すみれのブロマイド。\nお正月だけの\nスペシャル限定版。	
79	S2A:SK0101:786	マリアのブロマイド。	
79	S2A:SK0101:787	マリアのブロマイド。\nお正月だけの\nスペシャル限定版。	
79	S2A:SK0101:788	カンナのブロマイド。	
79	S2A:SK0101:789	カンナのブロマイド。\nお正月だけの\nスペシャル限定版。	
79	S2A:SK0101:790	アイリスのブロマイド。	
79	S2A:SK0101:791	アイリスのブロマイド。\nお正月だけの\nスペシャル限定版。	
79	S2A:SK0101:792	紅蘭のブロマイド。	
79	S2A:SK0101:793	紅蘭のブロマイド。\nお正月だけの\nスペシャル限定版。	
79	S2A:SK0101:794	織姫のブロマイド。	
79	S2A:SK0101:795	織姫のブロマイド。\nお正月だけの\nスペシャル限定版。	
79	S2A:SK0101:796	レニのブロマイド。	
79	S2A:SK0101:797	レニのブロマイド。\nお正月だけの\nスペシャル限定版。	
79	S2A:SK0101:798	歓迎会で使うくす玉。	
79	S2A:SK0101:799	歓迎会で使う花びん。	
79	S2A:SK0101:800	歓迎会で使うたれ幕。	
79	S2A:SK0101:801	キネマトロン。\n紅蘭が発明した、相手の顔を\n見ながら話せる通信機。	
79	S2A:SK0101:802	魔神器の一つ、剣。\n鬼王から取り戻した。	
79	S2A:SK0101:803	魔神器の一つ、鏡。\n鬼王から取り戻した。	
79	S2A:SK0101:804	キネマトロンの破片。\n旅館の子供が、海岸で\n拾ったらしい。	
79	S2A:SK0101:805	さくらからもらった手紙。	
79	S2A:SK0101:806	すみれからもらった手紙。	
79	S2A:SK0101:807	マリアからもらった手紙。	
79	S2A:SK0101:808	カンナからもらった手紙。	
79	S2A:SK0101:809	アイリスからもらった手紙。	
79	S2A:SK0101:810	紅蘭からもらった手紙。	
79	S2A:SK0101:811	織姫からもらった手紙。	
79	S2A:SK0101:812	レニからもらった手紙。	
79	S2A:SK0101:815	さくらからもらったマフラー。\n大神の好きな黄色で\n編んでくれた。	
78	S2A:SK0101:779	旅館から預かったライター。	
78	S2A:SK0101:780	アイリスが、レニのために\n作った花かざり。	
78	S2A:SK0101:813	さくらからもらったマフラー。\n大神の好きな赤で\n編んでくれた。	
78	S2A:SK0101:814	さくらからもらったマフラー。\n大神の好きな青で\n編んでくれた。	
73	S1A:0100tbl:466	はい！	
68	S2A:SK0101:769	すいません、大神さん。\n同じ人のは、一枚ずつしか\nお売りできないんです。	
68	S2A:SK0101:770	……そうか。\n残念だな……	
68	S2A:SK0101:771	残念ですぅ、大神さん。\n同じ人のは、一枚ずつしか\nお売りできないんですぅ。	
68	S2A:SK0101:772	あっ、そうだったね。\n残念だな……	
64	S1A:0100tbl:142	……	
62	S1A:0100tbl:1	すみれくんのブロマイドだ。\nふだん見せない、こんな一面も\nあるんだな。	
